date,macbook_unscaled,macbook_monthly,isPartial,scale,macbook
2020-01-01,84,82,False,0.82,68.88
2020-01-02,98,94,False,0.94,92.11999999999999
2020-01-03,97,93,False,0.93,90.21000000000001
2020-01-04,99,92,False,0.92,91.08
2020-01-05,97,93,False,0.93,90.21000000000001
2020-01-06,100,100,False,1.0,100.0
2020-01-07,98,95,False,0.95,93.1
2020-01-08,98,93,False,0.93,91.14
2020-01-09,98,91,False,0.91,89.18
2020-01-10,92,88,False,0.88,80.96
2020-01-11,91,88,False,0.88,80.08
2020-01-12,97,95,False,0.95,92.14999999999999
2020-01-13,97,93,False,0.93,90.21000000000001
2020-01-14,95,92,False,0.92,87.4
2020-01-15,96,92,False,0.92,88.32000000000001
2020-01-16,98,94,False,0.94,92.11999999999999
2020-01-17,92,87,False,0.87,80.04
2020-01-18,94,90,False,0.9,84.60000000000001
2020-01-19,97,92,False,0.92,89.24000000000001
2020-01-20,96,91,False,0.91,87.36
2020-01-21,100,94,False,0.94,94.0
2020-01-22,96,94,False,0.94,90.24
2020-01-23,98,94,False,0.94,92.11999999999999
2020-01-24,90,86,False,0.86,77.4
2020-01-25,90,86,False,0.86,77.4
2020-01-26,93,88,False,0.88,81.84
2020-01-27,93,89,False,0.89,82.77
2020-01-28,93,91,False,0.91,84.63000000000001
2020-01-29,93,89,False,0.89,82.77
2020-01-30,93,89,False,0.89,82.77
2020-01-31,90,85,False,0.85,76.5
2020-02-01,95,85,False,0.85,80.75
2020-02-02,98,89,False,0.89,87.22
2020-02-03,96,88,False,0.88,84.48
2020-02-04,98,91,False,0.91,89.18
2020-02-05,98,88,False,0.88,86.24
2020-02-06,98,88,False,0.88,86.24
2020-02-07,96,87,False,0.87,83.52
2020-02-08,92,85,False,0.85,78.2
2020-02-09,98,90,False,0.9,88.2
2020-02-10,98,90,False,0.9,88.2
2020-02-11,99,90,False,0.9,89.10000000000001
2020-02-12,100,90,False,0.9,90.0
2020-02-13,95,89,False,0.89,84.55
2020-02-14,87,81,False,0.81,70.47
2020-02-15,95,85,False,0.85,80.75
2020-02-16,97,91,False,0.91,88.27
2020-02-17,98,89,False,0.89,87.22
2020-02-18,99,91,False,0.91,90.09
2020-02-19,100,89,False,0.89,89.0
2020-02-20,95,88,False,0.88,83.6
2020-02-21,96,85,False,0.85,81.6
2020-02-22,91,83,False,0.83,75.53
2020-02-23,95,86,False,0.86,81.7
2020-02-24,97,87,False,0.87,84.39
2020-02-25,95,90,False,0.9,85.5
2020-02-26,95,87,False,0.87,82.65
2020-02-27,95,85,False,0.85,80.75
2020-02-28,90,83,False,0.83,74.7
2020-02-29,92,84,False,0.84,77.28
